"ln_n_pages","n_citations_2018_Google"
2.19722457733622,3
2.19722457733622,36
2.19722457733622,2
2.19722457733622,43
2.19722457733622,2
2.39789527279837,0
2.39789527279837,2
2.30258509299405,2
2.89037175789616,3
2.30258509299405,0
2.89037175789616,14
2.56494935746154,11
2.484906649788,3
2.63905732961526,11
1.94591014905531,5
2.39789527279837,3
3.04452243772342,0
2.19722457733622,1
2.484906649788,5
2.56494935746154,0
2.484906649788,49
2.39789527279837,6
2.63905732961526,27
2.19722457733622,9
2.39789527279837,3
2.70805020110221,11
3.3322045101752,37
2.39789527279837,17
2.70805020110221,11
2.39789527279837,28
2.94443897916644,9
2.63905732961526,23
2.70805020110221,15
2.19722457733622,1
2.39789527279837,8
2.56494935746154,1
2.484906649788,2
2.89037175789616,5
2.63905732961526,3
2.70805020110221,0
2.19722457733622,11
2.56494935746154,4
2.63905732961526,7
2.63905732961526,15
2.63905732961526,16
2.19722457733622,4
2.39789527279837,23
2.56494935746154,4
2.484906649788,3
2.56494935746154,26
3.43398720448515,75
2.70805020110221,1
2.89037175789616,19
2.70805020110221,25
2.56494935746154,29
2.19722457733622,0
2.70805020110221,11
2.99573227355399,24
2.63905732961526,1
3.09104245335832,5
4.12713438504509,19
3.46573590279973,18
3.29583686600433,4
3.36729582998647,21
4.21950770517611,7
3.40119738166216,21
3.73766961828337,5
3.13549421592915,3
3.49650756146648,4
3.49650756146648,3
4.14313472639153,98
4.36944785246702,16
4.39444915467244,22
2.99573227355399,3
2.77258872223978,5
2.99573227355399,18
2.94443897916644,26
2.83321334405622,8
2.30258509299405,4
2.77258872223978,7
2.89037175789616,104
2.94443897916644,24
2.70805020110221,4
2.94443897916644,0
2.94443897916644,1
2.89037175789616,28
2.484906649788,4
2.83321334405622,3
2.70805020110221,1
2.99573227355399,1
